Location	Coarse	Coarse.1stMention	Region	Region2	Decade	Freq	N	E
Череповец	Череповец	Череповец	Вологда	Север	1811	1	59.116667	37.9
Кучино (from date). IN: Московская область	Кучино	Кучино	Москва	Москва	1921	15	55.7539488	37.9474569
Кучино (from date). IN: Московская область	Кучино	Кучино	Москва	Москва	1931	22	55.7539488	37.9474569
Томилино	Томилино	Томилино	Москва	Москва	1911	1	55.65	37.95
Васильевка. IN: Измалковский район, Липецкая область	Васильевка	Васильевка	Липецк	Южные области	1911	1	52.7733297	37.9756594
Васильевка. IN: Измалковский район, Липецкая область	Васильевское	Васильевка	Липецк	Южные области	1911	5	52.7733297	37.9756594
Геленджик	Геленджик	Геленджик	Краснодар	Черное море	1901	2	44.560833	38.076667
Ефремов	Ефремов	Ефремов	Тула	Центр России	1901	5	53.142816	38.116191
Ефремов	Ефремов	Ефремов	Тула	Центр России	1911	1	53.142816	38.116191
Сергиев Посад	Сергиев Посад	Сергиев Посад	Москва	Москва	1911	1	56.3	38.133333
Прозоровка	Прозоровка	Прозоровка	Москва	Москва	1931	1	55.5919726	38.157733
Кратово (Прозоровка)	Кратово (Прозоровка)	Кратово (Прозоровка)	Москва	Москва	1931	1	55.597342	38.163479
Павловка. IN: 4 км южнее Вязового, Долгоруковский район, Липецкая область	Павловка	Павловка	Липецк	Южные области	1881	10	52.37861	38.17306
Малевка	Малевка	Малевка	Тула	Центр России	1901	1	53.6094733	38.2375017
Старки. IN: Московская область	Старки	Старки	Москва	Москва	1931	1	56.0566	38.3937
Старки, Московская область	Старки	Старки	Москва	Москва	1951	1	56.0566	38.3937
Старки. IN: Московская область. Москва	Старки. Москва	Старки	Москва	Москва	1951	1	56.0566	38.3937
Елец	Елец	Елец	Липецк	Южные области	1851	1	52.616667	38.466667
Пальна. IN: Липецкая область	Пальна	Пальна	Липецк	Южные области	1851	6	52.70889	38.57278
Коломна	Коломна	Коломна	Москва	Москва	1951	1	55.093889	38.768056
Рыбинск	Рыбинск	Рыбинск	Ярославль	Центр России	1901	1	58.05	38.833333
Таганрог	Таганрог	Таганрог	Ростов-на-Дону	Южные области	1841	1	47.239167	38.883333
Воронеж	Воронеж	Воронеж	Воронеж	Южные области	1911	2	51.671667	39.210556
Ростов-на-Дону	Ростов-на-Дону	Ростов-на-Дону	Ростов-на-Дону	Южные области	1911	1	47.2611557	39.4875706
Константиново	Константиново	Константиново	Рязань	Центр России	1911	3	54.8618952	39.586837
Рязань	Рязань	Рязань	Рязань	Центр России	1891	1	54.616667	39.716667
Рязань	Рязань	Рязань	Рязань	Центр России	1931	2	54.616667	39.716667
Стенькино	Стенькино	Стенькино	Рязань	Центр России	1881	2	54.538333	39.726389
Стенькино	Стенькино	Стенькино	Рязань	Центр России	1891	19	54.538333	39.726389
